695833 | 03AQ02 Mar 23 02:23:22 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | i | 1.19 | 0.79 0.87  1127 |P 1 V Q|
695856 | 03AQ02 Mar 23 03:54:23 03 | L01 D3 (Groth) | 14:19:29.1  52:40:43 2000 |  180 | r | 1.23 | 0.79 0.88   971 |P 1 V Q|
695857 | 03AQ02 Mar 23 03:58:14 03 | L01 D3 (Groth) | 14:19:27.7  52:40:51 2000 |  180 | r | 1.24 | 0.85 0.93   980 |P 1 V Q|
695858 | 03AQ02 Mar 23 04:02:04 03 | L01 D3 (Groth) | 14:19:27.2  52:40:47 2000 |  180 | r | 1.24 | 0.89 0.97   969 |P 1 V Q|
695859 | 03AQ02 Mar 23 04:05:54 03 | L01 D3 (Groth) | 14:19:28.8  52:40:34 2000 |  180 | r | 1.25 | 0.83 0.91   976 |P 1 V Q|
695860 | 03AQ02 Mar 23 04:09:45 03 | L01 D3 (Groth) | 14:19:28.5  52:40:48 2000 |  180 | r | 1.25 | 0.94 1.01   982 |P 1 V Q|
695861 | 03AQ02 Mar 23 04:13:35 03 | L01 D3 (Groth) | 14:19:27.4  52:40:33 2000 |  180 | r | 1.26 | 1.05 1.13   995 |P 2 V Q|
695862 | 03AQ02 Mar 23 04:17:26 03 | L01 D3 (Groth) | 14:19:27.1  52:40:42 2000 |  180 | r | 1.26 | 1.25 1.29  1009 |A 3 O Q|
695865 | 03AQ02 Mar 23 04:42:28 03 | L01 D3 (Groth) | 14:19:27.1  52:40:43 2000 |  180 | r | 1.31 | 1.03 1.10  1060 |P 2 V Q|
695866 | 03AQ02 Mar 23 04:48:51 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | r | 1.32 | 1.15 1.23  1575 |P 2 O Q|
695867 | 03AQ02 Mar 23 04:52:41 03 | L01 D3 (Groth) | 14:19:26.8  52:40:37 2000 |  180 | g | 1.33 | 1.30 1.38  1585 |P 3 O Q|
695868 | 03AQ02 Mar 23 04:56:30 03 | L01 D3 (Groth) | 14:19:28.4  52:40:30 2000 |  180 | g | 1.34 | 1.19 1.26  1590 |P 2 O Q|
695869 | 03AQ02 Mar 23 05:00:20 03 | L01 D3 (Groth) | 14:19:29.1  52:40:43 2000 |  180 | g | 1.35 | 1.32 1.39  1603 |P 3 O Q|
695870 | 03AQ02 Mar 23 05:04:11 03 | L01 D3 (Groth) | 14:19:27.7  52:40:51 2000 |  180 | g | 1.36 | 1.06 1.14  1615 |P 2 O Q|
696037 | 03AQ02 Mar 24 04:11:08 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | g | 1.26 | 0.84 0.94  1117 |P 1 V Q|
696038 | 03AQ02 Mar 24 04:15:13 03 | L01 D3 (Groth) | 14:19:26.9  52:40:38 2000 |  180 | g | 1.27 | 1.01 1.09  1111 |P 2 V Q|
696039 | 03AQ02 Mar 24 04:19:20 03 | L01 D3 (Groth) | 14:19:28.3  52:40:31 2000 |  180 | g | 1.27 | 1.18 1.29  1118 |P 3 V Q|
696040 | 03AQ02 Mar 24 04:23:25 03 | L01 D3 (Groth) | 14:19:29.1  52:40:44 2000 |  180 | g | 1.28 | 1.10 1.18  1133 |P 2 V Q|
696041 | 03AQ02 Mar 24 04:27:32 03 | L01 D3 (Groth) | 14:19:27.6  52:40:51 2000 |  180 | g | 1.29 | 1.19 1.27  1141 |P 3 V Q|
696135 | 03AQ02 Mar 25 03:39:26 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | i | 1.22 | 1.25 1.31  1040 |A 2 O Q|
696136 | 03AQ02 Mar 25 03:43:17 03 | L01 D3 (Groth) | 14:19:26.9  52:40:37 2000 |  180 | i | 1.23 | 1.13 1.20  1034 |A 2 O Q|
696137 | 03AQ02 Mar 25 03:47:08 03 | L01 D3 (Groth) | 14:19:28.3  52:40:30 2000 |  180 | i | 1.23 | 1.23 1.31  1098 |A 2 O Q|
696138 | 03AQ02 Mar 25 03:50:59 03 | L01 D3 (Groth) | 14:19:29.1  52:40:43 2000 |  180 | i | 1.24 | 0.96 1.01  1132 |A 2 O Q|
696139 | 03AQ02 Mar 25 03:54:49 03 | L01 D3 (Groth) | 14:19:27.6  52:40:51 2000 |  180 | i | 1.24 | 0.96 1.01  1159 |A 2 O Q|
696140 | 03AQ02 Mar 25 03:58:39 03 | L01 D3 (Groth) | 14:19:27.2  52:40:47 2000 |  180 | i | 1.25 | 0.95 1.02  1160 |A 2 O Q|
696141 | 03AQ02 Mar 25 04:02:29 03 | L01 D3 (Groth) | 14:19:28.7  52:40:34 2000 |  180 | i | 1.25 | 0.86 0.93  1220 |A 2 V Q|
696142 | 03AQ02 Mar 25 04:06:20 03 | L01 D3 (Groth) | 14:19:28.5  52:40:48 2000 |  180 | i | 1.26 | 0.87 0.92  1178 |A 2 V Q|
696143 | 03AQ02 Mar 25 04:10:11 03 | L01 D3 (Groth) | 14:19:27.4  52:40:33 2000 |  180 | i | 1.26 | 1.14 1.19  1181 |A 2 O Q|
696144 | 03AQ02 Mar 25 04:14:01 03 | L01 D3 (Groth) | 14:19:27.1  52:40:42 2000 |  180 | i | 1.27 | 1.27 1.33  1222 |A 3 O Q|
696145 | 03AQ02 Mar 25 04:17:52 03 | L01 D3 (Groth) | 14:19:28.8  52:40:38 2000 |  180 | i | 1.28 | 1.14 1.20  1277 |A 2 O Q|
696146 | 03AQ02 Mar 25 04:21:42 03 | L01 D3 (Groth) | 14:19:27.8  52:40:46 2000 |  180 | i | 1.28 | 1.08 1.14  1517 |A 2 O Q|
696147 | 03AQ02 Mar 25 04:25:33 03 | L01 D3 (Groth) | 14:19:28.2  52:40:35 2000 |  180 | i | 1.29 | 1.10 1.13  1558 |A 2 O Q|
696148 | 03AQ02 Mar 25 04:29:23 03 | L01 D3 (Groth) | 14:19:28.4  52:40:45 2000 |  180 | i | 1.30 | 1.10 1.15  1346 |A 2 O Q|
696149 | 03AQ02 Mar 25 04:33:20 03 | L01 D3 (Groth) | 14:19:27.5  52:40:36 2000 |  180 | i | 1.31 | 1.24 1.27  1348 |A 3 O Q|
696150 | 03AQ02 Mar 25 04:37:09 03 | L01 D3 (Groth) | 14:19:27.8  52:40:31 2000 |  180 | i | 1.32 | 1.17 1.22  1367 |A 3 O Q|
696151 | 03AQ02 Mar 25 04:40:59 03 | L01 D3 (Groth) | 14:19:28.1  52:40:49 2000 |  180 | i | 1.32 | 1.30 1.38  1389 |A 3 O Q|
696152 | 03AQ02 Mar 25 04:44:50 03 | L01 D3 (Groth) | 14:19:28.3  52:40:39 2000 |  180 | i | 1.33 | 1.49 1.54  1392 |A 3 O Q|
696153 | 03AQ02 Mar 25 04:48:45 03 | L01 D3 (Groth) | 14:19:27.6  52:40:42 2000 |  180 | i | 1.34 | 1.72 1.76  1430 |A 3 O Q|
696154 | 03AQ02 Mar 25 04:52:35 03 | L01 D3 (Groth) | 14:19:28.6  52:40:47 2000 |  180 | i | 1.35 | 1.66 1.68  1482 |A 3 O Q|
696155 | 03AQ02 Mar 25 04:54:21 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |   30 | i | 1.36 | 1.06 1.15   244 |A 2 O Q|
696156 | 03AQ02 Mar 25 04:58:44 03 | L01 D3 (Groth) | 14:19:27.5  52:40:36 2000 |  180 | i | 1.37 | 1.36 1.43  1476 |A 3 O Q|
696157 | 03AQ02 Mar 25 05:02:34 03 | L01 D3 (Groth) | 14:19:27.8  52:40:31 2000 |  180 | i | 1.38 | 1.21 1.29  1446 |A 3 O Q|
696158 | 03AQ02 Mar 25 05:06:31 03 | L01 D3 (Groth) | 14:19:28.1  52:40:49 2000 |  180 | i | 1.39 | 1.46 1.52  1448 |A 3 O Q|
696341 | 03AQ02 Mar 27 03:23:30 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | z | 1.22 | 0.91 0.98   781 |A 2 V Q|
696342 | 03AQ02 Mar 27 03:39:40 03 | L01 D3 (Groth) | 14:19:26.9  52:40:38 2000 |  180 | z | 1.23 | 0.84 0.91   722 |A 2 V Q|
696343 | 03AQ02 Mar 27 03:49:59 03 | L01 D3 (Groth) | 14:19:27.6  52:40:31 2000 |  180 | z | 1.25 | 0.77 0.84   759 |A 2 V Q|
696344 | 03AQ02 Mar 27 03:54:31 03 | L01 D3 (Groth) | 14:19:29.1  52:40:44 2000 |  180 | z | 1.25 | 0.86 0.93   795 |A 2 V Q|
696345 | 03AQ02 Mar 27 03:58:23 03 | L01 D3 (Groth) | 14:19:27.6  52:40:51 2000 |  180 | z | 1.26 | 0.80 0.87   796 |A 2 V Q|
696346 | 03AQ02 Mar 27 04:02:16 03 | L01 D3 (Groth) | 14:19:27.2  52:40:48 2000 |  180 | z | 1.26 | 0.80 0.87   810 |A 2 V Q|
696347 | 03AQ02 Mar 27 04:06:10 03 | L01 D3 (Groth) | 14:19:28.7  52:40:34 2000 |  180 | z | 1.27 | 0.81 0.89   837 |A 2 V Q|
696348 | 03AQ02 Mar 27 04:10:03 03 | L01 D3 (Groth) | 14:19:28.5  52:40:49 2000 |  180 | z | 1.28 | 0.83 0.91   839 |A 2 V Q|
696349 | 03AQ02 Mar 27 04:14:04 03 | L01 D3 (Groth) | 14:19:27.4  52:40:33 2000 |  180 | z | 1.28 | 0.85 0.92   813 |A 2 V Q|
696350 | 03AQ02 Mar 27 04:17:59 03 | L01 D3 (Groth) | 14:19:27.1  52:40:43 2000 |  180 | z | 1.29 | 0.76 0.84   858 |A 2 V Q|
696542 | 03AQ02 Mar 31 23:49:21 03 | L01 D3 (Groth) | 14:19:28.0  52:40:40 2000 |  180 | i | 1.35 | 1.02 1.08  1546 |P 3 O Q|
696543 | 03AQ02 Mar 31 23:57:15 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | i | 1.33 | 1.09 1.15  1525 |P 1 V Q|
696544 | 03AQ02 Apr 01 00:01:07 03 | L01 D3 (Groth) | 14:19:26.9  52:40:38 2000 |  180 | i | 1.32 | 0.93 1.00  1514 |P 1 V Q|
696545 | 03AQ02 Apr 01 00:05:00 03 | L01 D3 (Groth) | 14:19:28.3  52:40:31 2000 |  180 | i | 1.31 | 0.98 1.04  1498 |P 1 V Q|
696546 | 03AQ02 Apr 01 00:08:51 03 | L01 D3 (Groth) | 14:19:29.1  52:40:44 2000 |  180 | i | 1.31 | 0.92 0.99  1506 |P 1 V Q|
696547 | 03AQ02 Apr 01 00:12:42 03 | L01 D3 (Groth) | 14:19:27.6  52:40:51 2000 |  180 | i | 1.30 | 0.88 0.96  1487 |P 1 V Q|
696548 | 03AQ02 Apr 01 00:16:35 03 | L01 D3 (Groth) | 14:19:27.2  52:40:47 2000 |  180 | i | 1.29 | 0.81 0.89  1497 |P 1 V Q|
696549 | 03AQ02 Apr 01 00:20:29 03 | L01 D3 (Groth) | 14:19:28.7  52:40:34 2000 |  180 | i | 1.28 | 0.83 0.91  1483 |P 1 V Q|
696550 | 03AQ02 Apr 01 00:24:22 03 | L01 D3 (Groth) | 14:19:28.5  52:40:49 2000 |  180 | i | 1.28 | 0.83 0.91  1471 |P 1 V Q|
696551 | 03AQ02 Apr 01 00:28:17 03 | L01 D3 (Groth) | 14:19:27.4  52:40:32 2000 |  180 | i | 1.27 | 0.86 0.93  1459 |P 1 V Q|
696552 | 03AQ02 Apr 01 00:32:11 03 | L01 D3 (Groth) | 14:19:27.1  52:40:43 2000 |  180 | i | 1.26 | 0.87 0.94  1420 |P 1 V Q|
696553 | 03AQ02 Apr 01 00:36:04 03 | L01 D3 (Groth) | 14:19:28.8  52:40:39 2000 |  180 | i | 1.26 | 0.95 1.01  1422 |P 1 V Q|
696554 | 03AQ02 Apr 01 00:39:57 03 | L01 D3 (Groth) | 14:19:27.7  52:40:46 2000 |  180 | i | 1.25 | 0.91 0.96  1401 |P 1 V Q|
696555 | 03AQ02 Apr 01 00:43:48 03 | L01 D3 (Groth) | 14:19:28.2  52:40:36 2000 |  180 | i | 1.25 | 0.88 0.94  1406 |P 1 V Q|
696556 | 03AQ02 Apr 01 00:47:40 03 | L01 D3 (Groth) | 14:19:28.4  52:40:44 2000 |  180 | i | 1.24 | 0.94 1.00  1394 |P 1 V Q|
696557 | 03AQ02 Apr 01 00:51:33 03 | L01 D3 (Groth) | 14:19:27.5  52:40:36 2000 |  180 | i | 1.24 | 0.91 0.98  1383 |P 1 V Q|
696558 | 03AQ02 Apr 01 00:55:26 03 | L01 D3 (Groth) | 14:19:27.9  52:40:32 2000 |  180 | i | 1.23 | 0.91 0.98  1336 |P 1 V Q|
696559 | 03AQ02 Apr 01 00:59:20 03 | L01 D3 (Groth) | 14:19:28.1  52:40:50 2000 |  180 | i | 1.23 | 0.87 0.93  1324 |P 1 V Q|
696560 | 03AQ02 Apr 01 01:03:12 03 | L01 D3 (Groth) | 14:19:28.3  52:40:40 2000 |  180 | i | 1.22 | 0.87 0.93  1344 |P 1 V Q|
696561 | 03AQ02 Apr 01 01:07:05 03 | L01 D3 (Groth) | 14:19:27.6  52:40:42 2000 |  180 | i | 1.22 | 0.83 0.91  1385 |P 1 V Q|
696562 | 03AQ02 Apr 01 01:10:59 03 | L01 D3 (Groth) | 14:19:28.6  52:40:47 2000 |  180 | i | 1.22 | 0.88 0.94  1381 |P 1 V Q|
696564 | 03AQ02 Apr 01 01:37:24 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | r | 1.20 | 0.95 1.01   533 |P 1 V Q|
696565 | 03AQ02 Apr 01 01:41:18 03 | L01 D3 (Groth) | 14:19:26.9  52:40:38 2000 |  180 | r | 1.20 | 0.93 1.00   536 |P 1 V Q|
696566 | 03AQ02 Apr 01 01:45:12 03 | L01 D3 (Groth) | 14:19:28.3  52:40:31 2000 |  180 | r | 1.19 | 0.94 1.00   537 |P 1 V Q|
696567 | 03AQ02 Apr 01 01:49:07 03 | L01 D3 (Groth) | 14:19:29.1  52:40:44 2000 |  180 | r | 1.19 | 0.92 0.98   538 |P 1 V Q|
696568 | 03AQ02 Apr 01 01:52:58 03 | L01 D3 (Groth) | 14:19:27.6  52:40:51 2000 |  180 | r | 1.19 | 0.89 0.96   547 |P 1 V Q|
696569 | 03AQ02 Apr 01 01:56:50 03 | L01 D3 (Groth) | 14:19:27.2  52:40:48 2000 |  180 | r | 1.19 | 0.86 0.93   555 |P 1 V Q|
696570 | 03AQ02 Apr 01 02:00:45 03 | L01 D3 (Groth) | 14:19:28.7  52:40:34 2000 |  180 | r | 1.19 | 0.93 1.00   554 |P 1 V Q|
696571 | 03AQ02 Apr 01 02:04:39 03 | L01 D3 (Groth) | 14:19:28.5  52:40:49 2000 |  180 | r | 1.19 | 0.90 0.97   557 |P 1 V Q|
696572 | 03AQ02 Apr 01 02:08:33 03 | L01 D3 (Groth) | 14:19:27.4  52:40:32 2000 |  180 | r | 1.19 | 0.94 1.01   553 |P 1 V Q|
696573 | 03AQ02 Apr 01 02:12:26 03 | L01 D3 (Groth) | 14:19:27.1  52:40:43 2000 |  180 | r | 1.19 | 0.94 1.00   542 |P 1 V Q|
696574 | 03AQ02 Apr 01 02:18:54 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | z | 1.19 | 0.91 0.97  1498 |P 1 V Q|
696575 | 03AQ02 Apr 01 02:22:48 03 | L01 D3 (Groth) | 14:19:26.9  52:40:38 2000 |  180 | z | 1.19 | 0.90 0.99  1489 |P 1 V Q|
696576 | 03AQ02 Apr 01 02:26:42 03 | L01 D3 (Groth) | 14:19:28.3  52:40:31 2000 |  180 | z | 1.19 | 0.90 0.99  1454 |P 1 V Q|
696577 | 03AQ02 Apr 01 02:30:36 03 | L01 D3 (Groth) | 14:19:29.1  52:40:44 2000 |  180 | z | 1.19 | 0.88 0.97  1393 |P 1 V Q|
696578 | 03AQ02 Apr 01 02:34:29 03 | L01 D3 (Groth) | 14:19:27.6  52:40:51 2000 |  180 | z | 1.20 | 0.90 0.96  1390 |P 1 V Q|
696579 | 03AQ02 Apr 01 02:38:22 03 | L01 D3 (Groth) | 14:19:27.2  52:40:48 2000 |  180 | z | 1.20 | 0.95 1.02  1445 |P 1 V Q|
696580 | 03AQ02 Apr 01 02:42:17 03 | L01 D3 (Groth) | 14:19:28.7  52:40:34 2000 |  180 | z | 1.20 | 1.02 1.09  1453 |P 1 V Q|
696581 | 03AQ02 Apr 01 02:46:10 03 | L01 D3 (Groth) | 14:19:28.5  52:40:49 2000 |  180 | z | 1.20 | 0.85 0.94  1443 |P 1 V Q|
696582 | 03AQ02 Apr 01 02:50:04 03 | L01 D3 (Groth) | 14:19:27.4  52:40:32 2000 |  180 | z | 1.21 | 0.85 0.95  1424 |P 1 V Q|
696583 | 03AQ02 Apr 01 02:53:55 03 | L01 D3 (Groth) | 14:19:27.1  52:40:42 2000 |  180 | z | 1.21 | 0.93 1.01  1405 |P 2 V Q|
696584 | 03AQ02 Apr 01 03:00:35 03 | L01 D3 (Groth) | 14:19:28.0  52:40:41 2000 |  180 | g | 1.21 | 1.04 1.11   326 |P 1 V Q|
696585 | 03AQ02 Apr 01 03:04:28 03 | L01 D3 (Groth) | 14:19:26.9  52:40:38 2000 |  180 | g | 1.22 | 1.03 1.10   327 |P 1 V Q|
696586 | 03AQ02 Apr 01 03:08:22 03 | L01 D3 (Groth) | 14:19:28.3  52:40:31 2000 |  180 | g | 1.22 | 1.01 1.09   328 |P 1 V Q|
696587 | 03AQ02 Apr 01 03:12:17 03 | L01 D3 (Groth) | 14:19:29.1  52:40:44 2000 |  180 | g | 1.22 | 0.99 1.07   325 |P 1 V Q|
696588 | 03AQ02 Apr 01 03:16:10 03 | L01 D3 (Groth) | 14:19:27.6  52:40:51 2000 |  180 | g | 1.23 | 1.09 1.16   326 |P 1 V Q|
696589 | 03AQ02 Apr 01 03:25:38 03 | L01 D3 (Groth) | 14:19:28.2  52:40:37 2000 |   10 | g | 1.24 | 1.10 1.19    23 |A 4 O Q|
696590 | 03AQ02 Apr 01 03:26:37 03 | L01 D3 (Groth) | 14:19:28.2  52:40:37 2000 |   10 | g | 1.25 | 1.21 1.26    23 |A 4 O Q|
696591 | 03AQ02 Apr 01 03:27:35 03 | L01 D3 (Groth) | 14:19:28.2  52:40:37 2000 |   10 | g | 1.25 | 1.17 1.20    21 |A 4 O Q|
696592 | 03AQ02 Apr 01 03:28:34 03 | L01 D3 (Groth) | 14:19:28.2  52:40:37 2000 |   10 | g | 1.25 | 1.10 1.14    23 |A 4 O Q|
696593 | 03AQ02 Apr 01 03:29:32 03 | L01 D3 (Groth) | 14:19:28.2  52:40:37 2000 |   10 | g | 1.25 | 1.10 1.19    22 |A 4 O Q|
696594 | 03AQ02 Apr 01 03:35:07 03 | L01 D3 (Groth) | 14:19:28.2  52:41:42 2000 |   10 | g | 1.26 | 0.90 1.01    25 |A 4 O Q|
696595 | 03AQ02 Apr 01 04:07:07 03 | L01 D3 (Groth) | 14:21:29.8  52:41:09 2000 |   60 | g | 1.31 | 1.17 1.22   124 |A 4 O Q|
696596 | 03AQ02 Apr 01 04:17:53 03 | L01 D3 (Groth) | 14:21:26.0  52:40:50 2000 |   60 | g | 1.33 | 1.09 1.17   125 |A 4 O Q|
696597 | 03AQ02 Apr 01 04:21:50 03 | L01 D3 (Groth) | 14:21:24.9  52:40:47 2000 |   60 | g | 1.34 | 1.01 1.08   127 |A 4 O Q|
696598 | 03AQ02 Apr 01 04:24:29 03 | L01 D3 (Groth) | 14:21:26.3  52:40:40 2000 |   60 | g | 1.35 | 0.95 1.03   126 |A 4 O Q|
696599 | 03AQ02 Apr 01 04:27:06 03 | L01 D3 (Groth) | 14:21:27.1  52:40:53 2000 |   60 | g | 1.36 | 0.95 1.03   122 |A 4 O Q|
696600 | 03AQ02 Apr 01 04:34:33 03 | L01 D3 (Groth) | 14:21:25.7  52:41:01 2000 |   60 | g | 1.38 | 1.02 1.10   123 |A 4 O Q|
699787 | 03AQ03 Apr 24 01:50:11 03 | L01 D3 (Groth) | 14:19:27.7  52:40:39 2000 |  520 | i | 1.23 | 0.89 0.96  3562 |P 2 V Q|
699788 | 03AQ03 Apr 24 02:26:43 03 | L01 D3 (Groth) | 14:19:27.7  52:40:39 2000 |  180 | i | 1.29 | 1.00 1.06  1226 |P 2 V Q|
699789 | 03AQ03 Apr 24 02:30:39 03 | L01 D3 (Groth) | 14:19:26.6  52:40:36 2000 |  180 | i | 1.30 | 2.12 2.13  1243 |P 4 O Q|
699790 | 03AQ03 Apr 24 02:34:34 03 | L01 D3 (Groth) | 14:19:28.1  52:40:29 2000 |  180 | i | 1.31 | 1.07 1.13  1264 |P 2 V Q|
699791 | 03AQ03 Apr 24 02:38:32 03 | L01 D3 (Groth) | 14:19:28.8  52:40:42 2000 |  180 | i | 1.31 | 1.11 1.17  1221 |P 2 V Q|
699792 | 03AQ03 Apr 24 02:42:27 03 | L01 D3 (Groth) | 14:19:27.4  52:40:49 2000 |  180 | i | 1.32 | 1.12 1.19  1195 |P 2 V Q|
699793 | 03AQ03 Apr 24 02:46:23 03 | L01 D3 (Groth) | 14:19:27.0  52:40:46 2000 |  180 | i | 1.33 | 1.09 1.15  1181 |P 2 V Q|
699794 | 03AQ03 Apr 24 02:50:21 03 | L01 D3 (Groth) | 14:19:28.5  52:40:32 2000 |  180 | i | 1.34 | 1.08 1.13  1251 |P 2 V Q|
699795 | 03AQ03 Apr 24 02:54:19 03 | L01 D3 (Groth) | 14:19:28.3  52:40:47 2000 |  180 | i | 1.35 | 1.13 1.16  1294 |P 3 V Q|
699796 | 03AQ03 Apr 24 02:58:16 03 | L01 D3 (Groth) | 14:19:27.2  52:40:30 2000 |  180 | i | 1.36 | 1.09 1.14  1270 |P 2 V Q|
699797 | 03AQ03 Apr 24 03:02:09 03 | L01 D3 (Groth) | 14:19:26.9  52:40:41 2000 |  180 | i | 1.37 | 1.14 1.19  1279 |P 2 V Q|
699798 | 03AQ03 Apr 24 03:06:06 03 | L01 D3 (Groth) | 14:19:28.6  52:40:37 2000 |  180 | i | 1.38 | 1.32 1.34  1299 |P 4 O Q|
699799 | 03AQ03 Apr 24 03:10:02 03 | L01 D3 (Groth) | 14:19:27.5  52:40:44 2000 |  180 | i | 1.40 | 1.13 1.16  1324 |P 3 V Q|
699800 | 03AQ03 Apr 24 03:13:58 03 | L01 D3 (Groth) | 14:19:28.0  52:40:34 2000 |  180 | i | 1.41 | 1.30 1.32  1300 |P 4 O Q|
699801 | 03AQ03 Apr 24 03:17:54 03 | L01 D3 (Groth) | 14:19:28.2  52:40:43 2000 |  180 | i | 1.42 | 1.22 1.24  1328 |P 4 O Q|
699802 | 03AQ03 Apr 24 03:21:50 03 | L01 D3 (Groth) | 14:19:27.3  52:40:35 2000 |  180 | i | 1.43 | 1.44 1.44  1299 |P 4 O Q|
699803 | 03AQ03 Apr 24 03:25:45 03 | L01 D3 (Groth) | 14:19:27.6  52:40:30 2000 |  180 | i | 1.45 | 1.25 1.29  1315 |P 4 O Q|
699804 | 03AQ03 Apr 24 03:29:45 03 | L01 D3 (Groth) | 14:19:27.9  52:40:48 2000 |  180 | i | 1.46 | 1.26 1.28  1367 |P 4 O Q|
699805 | 03AQ03 Apr 24 03:33:42 03 | L01 D3 (Groth) | 14:19:28.1  52:40:38 2000 |  180 | i | 1.48 | 1.32 1.33  1437 |P 4 O Q|
699806 | 03AQ03 Apr 24 03:37:41 03 | L01 D3 (Groth) | 14:19:27.4  52:40:40 2000 |  180 | i | 1.49 | 1.22 1.23  1425 |P 4 O Q|
